DateTime,Original Tweet,Processed Tweet
2016-11-20 22:46:00+00:00,.@GeorgeTakei is standing up and fighting back against Donald Trump &amp; his surrogates' bigotry. Are you with him? https://medium.com/p/41da17a1cd01/,"['stand', 'fight', 'back', 'donald', 'trump', 'amp', 'surrogate', 'bigotry']"
2016-11-20 20:20:35+00:00,"Kellyanne Conway wonders, ""what’s the worst that can happen to these millennials"" under a Trump presidency? Well…","['kellyanne', 'conway', 'wonder', '’', 'bad', 'happen', 'millennials', 'trump', 'presidency', 'well', '…']"
2016-11-20 17:31:19+00:00,"Thankful for Fewest jobless claims in 4 decades Quality, affordable health care 15.5 million new private-sector jobs","['thankful', 'fewest', 'jobless', 'claim', 'decade', 'quality', 'affordable', 'health', 'care', 'million', 'new', 'privatesector', 'job']"
2016-11-20 15:01:54+00:00,Happy birthday @JoeBiden! Sign his card → http://bit.ly/2gopWGf,"['happy', 'birthday', 'sign', 'card', '→']"
2016-11-19 22:34:57+00:00,"Trump's team includes white supremacists, Islamophobes, and friends of Putin. Fight back: http://bit.ly/2eODyu8","['trumps', 'team', 'include', 'white', 'supremacist', 'islamophobes', 'friend', 'putin', 'fight', 'back']"
2016-11-19 19:49:26+00:00,"What Donald Trump needs to understand about Japanese internment, by @GeorgeTakei: https://medium.com/to-the-left/we-cant-go-back-41da17a1cd01#.i7f0w5cab","['donald', 'trump', 'need', 'understand', 'japanese', 'internment']"
2016-11-19 17:35:15+00:00,"Mike Pompeo actually called Guantanamo Bay ""humane."" Trump wants to put him in charge of the CIA.","['mike', 'pompeo', 'actually', 'call', 'guantanamo', 'bay', 'humane', 'trump', 'want', 'put', 'charge', 'cia']"
2016-11-19 15:17:07+00:00,Make sure your friends and neighbors know where you stand: http://bit.ly/2g3xolY,"['make', 'sure', 'friend', 'neighbor', 'know', 'stand']"
2016-11-18 22:33:25+00:00,Put this sticker somewhere everyone can see it: http://bit.ly/2g6g0P2,"['put', 'sticker', 'somewhere', 'everyone', 'see']"
2016-11-18 20:19:39+00:00,Trump's surrogates are citing one of the Supreme Court's most shameful decisions as precedent:,"['trumps', 'surrogate', 'cite', 'one', 'supreme', 'courts', 'shameful', 'decision', 'precedent']"
2016-11-18 19:16:41+00:00,"Meet Michael Flynn, Donald Trump's alarming choice for National Security Advisor.","['meet', 'michael', 'flynn', 'donald', 'trumps', 'alarm', 'choice', 'national', 'security', 'advisor']"
2016-11-18 18:13:24+00:00,"He was too racist to be appointed to the federal bench in the '80s, but now Trump wants Jeff Sessions to run our judicial system.","['racist', 'appoint', 'federal', 'bench', 'trump', 'want', 'jeff', 'sessions', 'run', 'judicial', 'system']"
2016-11-18 17:10:23+00:00,This is what we're up against. Fight back: http://bit.ly/2fbS2CA,"['fight', 'back']"
2016-11-18 16:09:39+00:00,.@GeorgeTakei was sent to a Japanese internment camp at age 5. He has some words for Trump: http://wapo.st/2gqo00C,"['send', 'japanese', 'internment', 'camp', 'age', 'word', 'trump']"
2016-11-18 01:47:39+00:00,RT if you believe we deserve to know — right now — how Republicans plan to replace Obamacare.,"['believe', 'deserve', 'know', '—', 'right', '—', 'republicans', 'plan', 'replace', 'obamacare']"
2016-11-18 00:11:26+00:00,"Forward, not back. Every American deserves equal treatment, regardless of their race or religion.","['forward', 'back', 'every', 'american', 'deserves', 'equal', 'treatment', 'regardless', 'race', 'religion']"
2016-11-17 23:12:00+00:00,#TBT: Trump’s new national finance chairman profited from Bernie Madoff's Ponzi scheme because OF COURSE HE DID: http://bloom.bg/2gn2V7c,"['tbt', 'trump', '’', 'new', 'national', 'finance', 'chairman', 'profit', 'bernie', 'madoffs', 'ponzi', 'scheme', 'course']"
2016-11-17 22:03:45+00:00,Four years of Trump. Boxes and boxes of research. We're just getting started: https://medium.com/to-the-left/trump-vs-the-american-people-f5d8cb792f91#.ye1g0fftx,"['four', 'year', 'trump', 'boxes', 'box', 'research', 'get', 'start']"
2016-11-17 20:48:57+00:00,Jobless claims in the United States decline to their lowest level in four decades: http://bloom.bg/2fZaI6i,"['jobless', 'claim', 'united', 'states', 'decline', 'low', 'level', 'four', 'decade']"
2016-11-17 19:37:41+00:00,Trump owes us his tax returns now more than ever:,"['trump', 'owe', 'us', 'tax', 'return', 'ever']"
2016-11-17 18:36:43+00:00,"Put it on your laptop, car, or water bottle with pride: http://bit.ly/2f3Rcop","['put', 'laptop', 'car', 'water', 'bottle', 'pride']"
2016-11-17 17:21:54+00:00,Greeks have a word for the first week of the Trump Administration — kakistocracy. “Government by the worst people.”,"['greeks', 'word', 'first', 'week', 'trump', 'administration', '—', 'kakistocracy', '“', 'government', 'bad', 'people', '”']"
2016-11-17 00:12:20+00:00,This is who Donald Trump is working for. Fight back: http://bit.ly/2ghYHgq,"['donald', 'trump', 'work', 'fight', 'back']"
2016-11-16 22:14:10+00:00,Trump's conflicts of interest: Foreign affairs Banking Law enforcement Tax returns and the list goes on...,"['trumps', 'conflict', 'interest', 'foreign', 'affair', 'banking', 'law', 'enforcement', 'tax', 'return', 'list', 'go']"
2016-11-16 19:48:25+00:00,Join Harry Reid and stand up for every American who is threatened by white supremacists. https://medium.com/@SenatorReid/rescind-the-appointment-of-steve-bannon-e45736e0894c#.1l07ifsru,"['join', 'harry', 'reid', 'stand', 'every', 'american', 'threaten', 'white', 'supremacist']"
2016-11-16 16:17:05+00:00,Meet the man who could sit 25 feet away from the Oval Office.,"['meet', 'man', 'could', 'sit', 'foot', 'away', 'oval', 'office']"
2016-11-16 01:53:19+00:00,Donald Trump's choice for Chief Strategist has been praised by KKK leadership. Time to fight back: http://bit.ly/2geHyUY,"['donald', 'trumps', 'choice', 'chief', 'strategist', 'praise', 'kkk', 'leadership', 'time', 'fight', 'back']"
2016-11-15 22:14:38+00:00,"""It’s time to brush ourselves off, get back in the arena, and get ready to fight."" —President Obama Say you're in: http://bit.ly/2fUmnHn","['’', 'time', 'brush', 'get', 'back', 'arena', 'get', 'ready', 'fight', '—', 'president', 'obama', 'say', 'youre']"
2016-11-15 19:02:48+00:00,"To government ethics experts, Donald Trump's plan for his business doesn't pass the test:","['government', 'ethic', 'expert', 'donald', 'trumps', 'plan', 'business', 'doesnt', 'pas', 'test']"
2016-11-15 15:53:27+00:00,"We’re Democrats, which means we dust ourselves off and continue, without fanfare, working on this imperfect union: https://medium.com/to-the-left/a-note-of-gratitude-a8b84844044#.ay3pmotvi","['’', 'democrats', 'mean', 'dust', 'continue', 'without', 'fanfare', 'work', 'imperfect', 'union']"
2016-11-14 21:51:11+00:00,“We’re going to take time to heal in our communities — and then we are going to keep fighting.”,"['“', '’', 'go', 'take', 'time', 'heal', 'community', '—', 'go', 'keep', 'fighting', '”']"
2016-11-14 20:54:59+00:00,“America at its best is inclusive and not exclusive. That we insist on the dignity and God-given potential and worth of every child” —@POTUS,"['“', 'america', 'best', 'inclusive', 'exclusive', 'insist', 'dignity', 'godgiven', 'potential', 'worth', 'every', 'child', '”', '—']"
2016-11-11 15:09:18+00:00,"Thankful for every American who has served our country, this Veterans Day and every day.","['thankful', 'every', 'american', 'serve', 'country', 'veterans', 'day', 'every', 'day']"
